| term                                    |              estimate |            std.error |           statistic |              p.value |
|-----------------------------------------+-----------------------+----------------------+---------------------+----------------------|
| GenusAbies                              |      118.491895397578 |     798.773151571522 |   0.148342361237925 |    0.882074016417047 |
| GenusAcer                               |       85.704801186471 |     13.0279050413174 |    6.57855587023868 |  4.8628156401213e-11 |
| GenusBetula                             |      127.830483629923 |     130.814723511515 |   0.977187278301058 |    0.328487752088164 |
| GenusCarya                              |       -237.7233781339 |     89.3014968516887 |   -2.66203128183516 |  0.00777300693472195 |
| GenusCatalpa                            |     -422.576774772258 |     194.255117813655 |   -2.17537009849917 |   0.0296135592995855 |
| GenusCeltis                             |      70.9609931015441 |       75.82875047905 |   0.935805913367242 |    0.349383935632781 |
| GenusFraxinus                           |      30.5517823983171 |     22.9688218459916 |    1.33014146755851 |    0.183486175268832 |
| GenusGinkgo                             |      451.764658555522 |     1416.13113984908 |   0.319013293220618 |    0.749719619692463 |
| GenusGleditsia                          |      19.1304155680951 |     25.1736980473742 |   0.759936642288063 |     0.44730102690988 |
| GenusGymnocladus                        |        9572.936095884 |      4417.9582949203 |    2.16682355442124 |   0.0302595676866331 |
| GenusJuglans                            |     -75.2554056403234 |     44.2345531118298 |   -1.70128102006749 |   0.0889051005117009 |
| GenusPicea                              |      17.5692415197241 |     48.9547674856725 |   0.358887242695332 |    0.719683067809251 |
| GenusPinus                              |       213.30300499868 |     98.6121321364563 |    2.16305033039462 |    0.030548605799883 |
| GenusPlatanus                           |     -1889.55463856852 |     1318.10229215961 |   -1.43354172874749 |    0.151718037565038 |
| GenusPopulus                            |      226.354434794125 |     85.9560924703688 |    2.63337278706748 |  0.00846037115694907 |
| GenusQuercus                            |      55.0638219522258 |     33.5953661236769 |    1.63903026832676 |     0.10122200307399 |
| GenusRobinia                            |      116.280744279661 |     113.300363289379 |    1.02630513180854 |    0.304759653500963 |
| GenusSalix                              |      15930.3812424575 |     7129.32996575567 |    2.23448505244896 |   0.0254617006658001 |
| GenusThuja                              |     -26.3415421622084 |     90.0743935960003 |   -0.29244207049958 |    0.769951547865347 |
| GenusTilia                              |      20.7461060149314 |     31.5710561113622 |   0.657124232453695 |    0.511108272571337 |
| GenusUlmus                              |      51.3277212258753 |     28.4244544068071 |    1.80575924136589 |   0.0709703323664015 |
| tpi_5ft                                 |     -1.13449842136364 |    0.379203052822039 |   -2.99179664541379 |  0.00277664445954873 |
| aspect_trans_5ft                        |     0.358015760341203 |    0.125670702192209 |    2.84884029527926 |  0.00439217391912524 |
| tpi_200ft                               |    -0.127872709730712 |   0.0300465623906613 |   -4.25581828856588 | 2.09192866490709e-05 |
| aspect_trans_200ft                      |    -0.256134098695191 |    0.123669974038063 |   -2.07110982829476 |   0.0383607737813248 |
| elev                                    |    -0.258382815140469 |    0.518903293396285 |  -0.497940210495335 |    0.618531422139064 |
| slope_5ft                               |     -2.64180557964875 |     1.67057005284443 |   -1.58137970637665 |    0.113806372355168 |
| slope_200ft                             |     -5.96723574893263 |      4.0170553552218 |   -1.48547511081115 |    0.137433090156402 |
| st_poneighborhood:cor_max2005           |      4.68073914303766 |     200.054807129836 |  0.0233972840252714 |    0.981333594749211 |
| st_post no util:cor_max2005             |      4.90132948225643 |     200.054712189639 |  0.0244999451830471 |     0.98045406127132 |
| st_post w util:cor_max2005              |      4.76371202668271 |     200.054785652323 |  0.0238120373434185 |    0.981002765622702 |
| st_post no util:GenusAcer               |     -9.80747350417687 |     1.50786491557948 |   -6.50421228244294 | 7.98686470944471e-11 |
| st_post w util:GenusAcer                |     -8.00598950481548 |     1.84837782413014 |   -4.33135985527372 | 1.48881435228364e-05 |
| st_post no util:GenusBetula             |     -6.05228099916142 |      2.6655107301114 |     -2.270589621265 |   0.0231819603691096 |
| st_post w util:GenusBetula              |      2.73307614804732 |     6.02548708603651 |   0.453585927415057 |    0.650131592214483 |
| st_post no util:GenusCarya              |     -5.00659055181296 |     5.24306120150471 |   -0.95489836173877 |    0.339640139344672 |
| st_post w util:GenusCarya               |     -2.05236683017819 |     5.86724443796305 |  -0.349800805451139 |    0.726491718143462 |
| st_post no util:GenusCatalpa            |     -1.98926444898778 |     4.96530418554948 |  -0.400632947076462 |    0.688694478794176 |
| st_post w util:GenusCatalpa             |     0.430252086602063 |     5.32028425661572 |  0.0808701313406421 |    0.935546007993311 |
| st_post no util:GenusCeltis             |     -7.57164867655353 |     2.41341886472369 |   -3.13731229469792 |  0.00170741085939328 |
| st_post w util:GenusCeltis              |     -8.21989739125839 |     3.08372794817649 |   -2.66557151908264 |  0.00769166495505008 |
| st_post no util:GenusFraxinus           |     -6.19325299348856 |     1.61656785074952 |   -3.83111231032899 | 0.000127938062343774 |
| st_post w util:GenusFraxinus            |     -4.34084161218457 |     1.94658487691595 |   -2.22997808298086 |   0.0257594729734925 |
| st_post no util:GenusGinkgo             |     -2.59955509760863 |     7.59596447188207 |  -0.342228443436168 |    0.732182421627119 |
| st_post w util:GenusGinkgo              |     -12.7458410002849 |     9.01903868925047 |   -1.41321502650568 |    0.157607397852927 |
| st_post no util:GenusGleditsia          |     -4.68562592211396 |     1.48653771656563 |   -3.15203971611244 |  0.00162363185710861 |
| st_post w util:GenusGleditsia           |     -3.17573395343532 |      1.8691541320762 |   -1.69902197948107 |   0.0893299206135554 |
| st_post no util:GenusGymnocladus        |      21.8009454309647 |     11.7035249486864 |    1.86276745908176 |   0.0625090050724897 |
| st_post w util:GenusGymnocladus         |      16.5888042671971 |     16.6273765607286 |   0.997680193661906 |    0.318446007673301 |
| st_post no util:GenusJuglans            |     -8.72918147971275 |     2.66694835203603 |    -3.2730973110329 |  0.00106548477827001 |
| st_post w util:GenusJuglans             |     -7.07031682440695 |         3.8059947161 |   -1.85767909621585 |   0.0632286485123968 |
| st_post no util:GenusPicea              |     -6.12182491722053 |     2.09284892902574 |   -2.92511553620373 |  0.00344698342662035 |
| st_post w util:GenusPicea               |     0.993515833059217 |     3.32209082521082 |   0.299063416785472 |    0.764894631444216 |
| st_post no util:GenusPinus              |     -9.93313922936014 |     2.44436829199454 |   -4.06368355451664 | 4.84807467077917e-05 |
| st_post w util:GenusPinus               |     -13.0212056533933 |     4.59758024096247 |   -2.83218670929981 |  0.00462750327548675 |
| st_post no util:GenusPlatanus           |     -26.2560702797125 |     14.4952276897376 |   -1.81135963102542 |   0.0700995455425547 |
| st_post w util:GenusPlatanus            |     -25.7290007499078 |     17.2777971720695 |   -1.48913663551393 |    0.136466476855503 |
| st_post no util:GenusPopulus            |     -10.7696715315957 |     3.28740164228574 |   -3.27604372799046 |  0.00105443669038212 |
| st_post w util:GenusPopulus             |     -4.95862067482932 |     7.46359458514424 |  -0.664374333072579 |    0.506458083716063 |
| st_post no util:GenusQuercus            |      -8.7408335033197 |     1.89127468580426 |   -4.62166261142689 | 3.82950107106071e-06 |
| st_post w util:GenusQuercus             |     -6.85924335159909 |     2.40702802985657 |    -2.8496732345937 |  0.00438069376950051 |
| st_post no util:GenusRobinia            |     -10.3867127200618 |     3.68538561925223 |   -2.81835167147835 |  0.00483162363576942 |
| st_post w util:GenusRobinia             |     -1.00857080129388 |     5.51423436920373 |  -0.182903143712319 |    0.854875789777875 |
| st_post no util:GenusThuja              |     -12.1615776267752 |     3.44978116904851 |   -3.52531857263557 |  0.00042387834824561 |
| st_post w util:GenusThuja               |     -20.3951715932959 |      5.8211261422751 |   -3.50364707701125 | 0.000459892258857873 |
| st_post no util:GenusTilia              |     -8.53223879869506 |     2.37634703960371 |    -3.5904851675696 | 0.000330818916330326 |
| st_post w util:GenusTilia               |     -5.28504040887668 |     2.75549725046615 |   -1.91799879603676 |   0.0551247709490838 |
| st_post no util:GenusUlmus              |     -2.53017569478934 |     2.34014464168251 |   -1.08120483226635 |    0.279618480692683 |
| st_post w util:GenusUlmus               |     -1.42547575248242 |     3.02442449108519 |    -0.4713213230101 |    0.637416209038104 |
| cor_max2005:GenusAcer                   |     -20.1252804732194 |     200.083200682846 |  -0.100584558846198 |    0.919881219313242 |
| cor_max2005:GenusBetula                 |     -32.1602369798564 |     203.218127733445 |  -0.158254764663712 |    0.874257579955696 |
| cor_max2005:GenusCarya                  |      83.1079131590772 |     201.754499187149 |   0.411925947098636 |    0.680397925170318 |
| cor_max2005:GenusCatalpa                |       102.65450545132 |     205.301237463656 |   0.500018931787942 |     0.61706700987693 |
| cor_max2005:GenusCeltis                 |     -18.2485647458166 |     200.819493463731 | -0.0908704848870283 |    0.927596373363931 |
| cor_max2005:GenusFraxinus               |     -4.49666335794327 |     200.147470382693 | -0.0224667508879598 |    0.982075848665254 |
| cor_max2005:GenusGinkgo                 |     -82.3298021858675 |     427.710222029573 |  -0.192489676293439 |    0.847360523517455 |
| cor_max2005:GenusGleditsia              |      2.22854356369318 |      200.19802925483 |  0.0111316958113333 |    0.991118481421381 |
| cor_max2005:GenusGymnocladus            |     -2383.90669432314 |     1113.11747902688 |   -2.14164878302622 |   0.0322332775346038 |
| cor_max2005:GenusJuglans                |      21.3644172569502 |      200.46741814757 |   0.106573015477374 |    0.915128749733954 |
| cor_max2005:GenusPicea                  |     -8.64272131854636 |     200.551432114296 | -0.0430947873442299 |    0.965626386098236 |
| cor_max2005:GenusPinus                  |     -41.7601208518329 |     201.918832750055 |  -0.206816374099813 |    0.836155282084453 |
| cor_max2005:GenusPlatanus               |      357.822436562046 |      381.29921641592 |   0.938429509311486 |    0.348034568157813 |
| cor_max2005:GenusPopulus                |     -42.7784447653746 |     200.868045957482 |   -0.21296789422858 |    0.831354081425015 |
| cor_max2005:GenusQuercus                |     -6.90358880932182 |     200.205249328937 | -0.0344825564387637 |    0.972492681224564 |
| cor_max2005:GenusRobinia                |     -19.8833196408025 |     201.785198939372 | -0.0985370569561774 |    0.921506792628281 |
| cor_max2005:GenusSalix                  |     -2525.70887212829 |     1171.76641750552 |   -2.15547129051971 |   0.0311363501344815 |
| cor_max2005:GenusThuja                  |      1.71884446211578 |     201.747908130203 | 0.00851976349121043 |    0.993202375777943 |
| cor_max2005:GenusTilia                  |      4.97969950331947 |     200.256757150956 |  0.0248665741629168 |    0.980161626271274 |
| cor_max2005:GenusUlmus                  |      3.23568822387149 |     200.235474898202 |  0.0161594154358337 |    0.987107367224686 |
| GenusAbies:height2005_2                 |     -1.46814816645614 |      17.958402787182 | -0.0817527139720938 |    0.934844141543642 |
| GenusAcer:height2005_2                  |      1.17393040930908 |    0.330675173371081 |    3.55010144046015 | 0.000385928102215256 |
| GenusBetula:height2005_2                |      2.49341531993492 |     3.56883604268844 |   0.698663455006077 |    0.484770149375413 |
| GenusCarya:height2005_2                 |     -8.94663877257243 |     2.62228885533007 |   -3.41176707302381 | 0.000646654107011869 |
| GenusCatalpa:height2005_2               |     -9.58695172298103 |     3.95182570870273 |   -2.42595509763211 |    0.015276563234712 |
| GenusCeltis:height2005_2                |      1.17554536456038 |     1.46584104637035 |   0.801959644581664 |     0.42258541784438 |
| GenusFraxinus:height2005_2              |    -0.255424397879803 |    0.598593544600667 |  -0.426707571746704 |    0.669596728730836 |
| GenusGinkgo:height2005_2                |      3.46998893470049 |     37.2800577042179 |  0.0930789582524678 |    0.925841725651089 |
| GenusGleditsia:height2005_2             |     -1.13670120398952 |    0.836408533241078 |   -1.35902631168146 |    0.174152911792809 |
| GenusGymnocladus:height2005_2           |      213.813315740484 |     98.7078113048462 |    2.16612356118554 |    0.030313010638061 |
| GenusJuglans:height2005_2               |     -2.85984440952545 |     1.34432533162842 |   -2.12734547377846 |   0.0334030604193196 |
